pitcher,game_date,IP,ER,R,H,BB,SO,Pit,rest_days,opp_ops,is_home,avg_ip_last3,avg_er_last3,opp_team,Team,season_era,season_whip,hand
Aaron Brooks,2024/5/15 00:00,7,3,3,7,1,5,84,5,0.741,0,7,3,HOU,,5.06,1.54,R
Aaron Brooks,2024/5/21 00:00,6,3,3,6,1,3,85,6,0.704,1,6.5,3,COL,,5.06,1.54,R
Aaron Brooks,2024/5/26 00:00,4.1,1,5,9,3,1,90,5,0.741,1,5.7,2.33,HOU,,5.06,1.54,R
Aaron Brooks,2024/6/1 00:00,4.1,7,7,7,1,1,79,6,0.724,0,4.73,3.67,ATL,,5.06,1.54,R
Aaron Brooks,2024/6/24 00:00,5,1,1,4,2,2,65,23,0.671,0,4.4,3,LAA,,5.06,1.54,R
Aaron Civale,2024/3/29 00:00,6,1,1,4,1,6,86,5,0.703,1,6,1,TOR,,4.36,1.3,R
Aaron Civale,2024/4/3 00:00,6,1,1,4,2,8,87,5,0.686,1,6,1,TEX,,4.36,1.3,R
Aaron Civale,2024/4/9 00:00,5,2,3,4,1,4,78,6,0.671,0,5.67,1.33,LAA,,4.36,1.3,R
Aaron Civale,2024/4/16 00:00,6,3,3,5,0,8,101,7,0.671,1,5.67,2,LAA,,4.36,1.3,R
Aaron Civale,2024/4/21 00:00,4.2,5,5,8,5,5,104,5,0.761,0,5.07,3.33,NYY,,4.36,1.3,R
Aaron Civale,2024/4/27 00:00,4.1,6,6,8,0,3,73,6,0.618,0,4.77,4.67,CWS,,4.36,1.3,R
Aaron Civale,2024/5/3 00:00,4.2,7,7,6,1,5,77,6,0.734,1,4.17,6,NYM,,4.36,1.3,R
Aaron Civale,2024/5/8 00:00,4.2,2,2,5,2,4,82,5,0.618,1,4.17,5,CWS,,4.36,1.3,R
Aaron Civale,2024/5/14 00:00,5,3,3,5,0,6,76,6,0.741,0,4.47,4,BOS,,4.36,1.3,R
Aaron Civale,2024/5/19 00:00,5.1,4,5,6,4,3,96,5,0.703,0,4.77,3,TOR,,4.36,1.3,R
Aaron Civale,2024/5/25 00:00,5,2,2,4,1,5,71,6,0.71,1,5.03,3,KC,,4.36,1.3,R
Aaron Civale,2024/5/31 00:00,5.1,1,1,6,1,3,92,6,0.751,0,5.07,2.33,BAL,,4.36,1.3,R
Aaron Civale,2024/6/7 00:00,5,4,4,7,1,8,105,7,0.751,1,5.03,2.33,BAL,,4.36,1.3,R
Aaron Civale,2024/6/12 00:00,5.2,1,1,5,1,6,85,5,0.71,1,5.1,2,CHC,,4.36,1.3,R
Aaron Civale,2024/6/18 00:00,3.2,4,4,7,2,5,84,6,0.726,0,4.47,3,MIN,,4.36,1.3,R
Aaron Civale,2024/6/23 00:00,5,1,1,3,1,3,61,5,0.672,0,4.47,2,PIT,,4.36,1.3,R
Aaron Civale,2024/6/29 00:00,5.2,2,2,6,4,2,102,6,0.684,1,4.47,2.33,WSH,,4.36,1.3,R
Aaron Civale,2024/7/5 00:00,5,4,4,5,3,8,102,6,0.781,0,5.07,2.33,LAD,,4.36,1.3,R
Aaron Civale,2024/7/11 00:00,6.1,1,1,6,2,6,100,6,0.672,1,5.43,2.33,PIT,,4.36,1.3,R
Aaron Civale,2024/7/21 00:00,4.1,3,5,3,4,4,87,10,0.726,0,5.07,2.67,MIN,,4.36,1.3,R
Aaron Civale,2024/7/27 00:00,5.1,2,2,7,0,3,87,6,0.678,1,5.1,2,MIA,,4.36,1.3,R
Aaron Civale,2024/8/3 00:00,4,5,5,7,1,3,80,7,0.684,0,4.4,3.33,WSH,,4.36,1.3,R
Aaron Civale,2024/8/9 00:00,6.1,2,2,5,2,5,93,6,0.693,1,5.07,3,CIN,,4.36,1.3,R
Aaron Civale,2024/8/16 00:00,6,0,0,4,1,4,92,7,0.703,1,5.37,2.33,CLE,,4.36,1.3,R
Aaron Civale,2024/8/23 00:00,4,3,3,4,4,3,82,7,0.694,0,5.37,1.67,OAK,,4.36,1.3,R
Aaron Civale,2024/8/29 00:00,7,0,0,2,2,7,92,6,0.701,1,5.67,1,SF,,4.36,1.3,R
Aaron Civale,2024/9/3 00:00,5,3,3,6,0,7,89,5,0.703,1,5.33,2,STL,,4.36,1.3,R
Aaron Civale,2024/9/10 00:00,5.1,2,2,3,1,2,68,7,0.701,0,5.7,1.67,SF,,4.36,1.3,R
Aaron Civale,2024/9/16 00:00,5,1,1,7,1,6,90,6,0.75,1,5.03,2,PHI,,4.36,1.3,R
Aaron Civale,2024/9/21 00:00,4.1,3,3,3,3,2,91,5,0.777,1,4.73,2,AZ,,4.36,1.3,R
Aaron Civale,2024/9/26 00:00,6,0,0,3,1,5,86,5,0.672,0,5.03,1.33,PIT,,4.36,1.3,R
Aaron Civale,2024/10/1 00:00,3,0,0,0,1,2,35,5,0.734,1,4.37,1,NYM,,4.36,1.3,R
Aaron Nola,2024/3/30 00:00,4.1,6,7,11,1,3,83,5,0.724,1,4.1,6,ATL,,3.57,1.2,R
Aaron Nola,2024/4/5 00:00,5.2,0,0,2,4,4,95,6,0.684,0,4.65,3,WSH,,3.57,1.2,R
Aaron Nola,2024/4/10 00:00,6,2,2,3,3,3,93,5,0.703,0,5.1,2.67,STL,,3.57,1.2,R
Aaron Nola,2024/4/15 00:00,7.1,1,1,4,1,9,99,5,0.704,1,6.1,1,COL,,3.57,1.2,R
Aaron Nola,2024/4/21 00:00,8,2,2,4,1,7,91,6,0.618,1,7.03,1.67,CWS,,3.57,1.2,R
Aaron Nola,2024/4/26 00:00,8,3,3,7,1,10,106,5,0.745,0,7.7,2,SD,,3.57,1.2,R
Aaron Nola,2024/5/3 00:00,4,2,2,4,4,4,89,7,0.701,1,6.67,2.33,SF,,3.57,1.2,R
Aaron Nola,2024/5/8 00:00,5.2,4,4,9,0,7,96,5,0.703,1,5.73,3,TOR,,3.57,1.2,R
Aaron Nola,2024/5/14 00:00,9,0,0,4,0,8,109,6,0.734,0,6.07,2,NYM,,3.57,1.2,R
Aaron Nola,2024/5/19 00:00,7,2,3,2,3,5,101,5,0.684,1,7.07,2,WSH,,3.57,1.2,R
Aaron Nola,2024/5/25 00:00,6,2,3,5,2,5,103,6,0.704,0,7.33,1.33,COL,,3.57,1.2,R
Aaron Nola,2024/5/31 00:00,6.1,2,2,3,2,6,96,6,0.703,1,6.37,2,STL,,3.57,1.2,R
Aaron Nola,2024/6/5 00:00,7,0,0,2,0,5,94,5,0.729,1,6.37,1.33,MIL,,3.57,1.2,R
Aaron Nola,2024/6/13 00:00,3.2,8,8,11,2,2,90,8,0.741,0,5.43,3.33,BOS,,3.57,1.2,R
Aaron Nola,2024/6/18 00:00,6,3,3,4,1,6,95,5,0.745,1,5.4,3.67,SD,,3.57,1.2,R
Aaron Nola,2024/6/24 00:00,7,1,1,6,0,6,90,6,0.685,0,5.4,4,DET,,3.57,1.2,R
Aaron Nola,2024/6/29 00:00,6.2,3,3,6,0,9,100,5,0.678,1,6.4,2.33,MIA,,3.57,1.2,R
Aaron Nola,2024/7/5 00:00,6,3,3,5,0,8,103,6,0.724,0,6.4,2.33,ATL,,3.57,1.2,R
Aaron Nola,2024/7/11 00:00,6,1,1,4,2,9,101,6,0.781,1,6.07,2.33,LAD,,3.57,1.2,R
Aaron Nola,2024/7/19 00:00,5,4,4,6,1,4,80,8,0.672,0,5.67,2.67,PIT,,3.57,1.2,R
Aaron Nola,2024/7/24 00:00,6,1,1,6,3,6,98,5,0.726,0,5.67,2,MIN,,3.57,1.2,R
Aaron Nola,2024/7/30 00:00,5.2,2,2,7,3,4,95,6,0.761,1,5.4,2.33,NYY,,3.57,1.2,R
Aaron Nola,2024/8/5 00:00,6,4,4,8,0,4,96,6,0.781,0,5.73,2.33,LAD,,3.57,1.2,R
Aaron Nola,2024/8/10 00:00,5,3,4,9,3,4,88,5,0.777,0,5.4,3,AZ,,3.57,1.2,R
Aaron Nola,2024/8/16 00:00,6.2,0,0,7,2,4,112,6,0.684,1,5.73,2.33,WSH,,3.57,1.2,R
Aaron Nola,2024/8/21 00:00,5.1,2,2,8,2,5,100,5,0.724,0,5.43,1.67,ATL,,3.57,1.2,R
Aaron Nola,2024/8/27 00:00,7,0,0,4,1,6,102,6,0.741,1,6.1,0.67,HOU,,3.57,1.2,R
Aaron Nola,2024/9/1 00:00,6,2,2,4,1,9,100,5,0.724,1,6.03,1.33,ATL,,3.57,1.2,R
Aaron Nola,2024/9/7 00:00,4.2,4,5,9,2,5,101,6,0.678,0,5.73,2,MIA,,3.57,1.2,R
Aaron Nola,2024/9/13 00:00,4.1,6,6,6,2,7,90,6,0.734,1,4.77,4,NYM,,3.57,1.2,R
Aaron Nola,2024/9/18 00:00,7,1,1,3,1,9,97,5,0.729,0,5.1,3.67,MIL,,3.57,1.2,R
Aaron Nola,2024/9/23 00:00,6,2,2,7,2,7,102,5,0.71,1,5.7,3,CHC,,3.57,1.2,R
Aaron Nola,2024/9/29 00:00,5,3,3,9,0,7,96,6,0.684,0,6,2,WSH,,3.57,1.2,R
Aaron Nola,2024/10/8 00:00,5,4,4,5,2,8,86,9,0.734,0,5.33,3,NYM,,3.57,1.2,R
Adam Mazur,2024/6/4 00:00,6,1,1,2,4,2,78,5,0.671,0,6,1,LAA,,7.49,1.81,R
Adam Mazur,2024/6/9 00:00,3,8,8,8,3,2,82,5,0.777,1,4.5,4.5,AZ,,7.49,1.81,R
